id,name_en,name_sanskrit,food_group,calories_per_100g,protein_g,carbs_g,fat_g,fiber_g,vitamins,minerals,rasa,virya,vipaka,guna,dosha_effect,seasonal_suitability,digestion_level,region_common,contraindications,suggested_combinations,therapeutic_uses,recommended_portion
5390,Crystallized Syrup,Crystallized Madhu,Sweetener,423.11143784133446,0.15817804335671348,103.81767429426176,0.0,1.3657396319344912,"E,B6,B3","Potassium,Zinc,Copper,Manganese,Sodium","Lavana,Katu,Kashaya",Shita,Amla,Ruksha,Aggravates Kapha,Spring,Laghu,"North India,East India","Diabetes,Obesity,Kapha imbalance",Black pepper + Turmeric,Stress relief,1 tsp
5391,Baby Root,Baby Mula,Vegetable,22.06598129926234,2.9794174577346437,8.947987938287856,0.0,3.339915148293773,,"Selenium,Sodium,Zinc,Calcium","Katu,Lavana",Ushna,Amla,Laghu,"Aggravates Vata,Balances Pitta",Monsoon,Laghu,"South India,North India",,Coriander + Coconut,"Immunity enhancer,Energy booster",1 cup
5392,Ocean Sardine,Ocean Shaphari,Fish,166.30110584748985,23.316487982756144,0.0,13.477539143041145,0.6979114156352375,,"Selenium,Iron,Manganese,Sodium,Copper","Amla,Tikta",Shita,Madhura,"Snigdha,Laghu","Reduces Vata,Reduces Kapha","Spring,Monsoon",Laghu,Himalayan,"Pregnancy,Underweight","Cardamom + Tea,Black pepper + Turmeric","Energy booster,Anemia,Respiratory health",100g
5393,Raw Honey,Madhu,Sweetener,379.43563838529803,0.0,91.67167057488841,3.8677551058993913,0.40840136965756935,"D,B1,E","Calcium,Copper,Potassium","Madhura,Amla,Lavana",Shita,Madhura,Guru,"Aggravates Kapha,Balances Vata",Spring,Laghu,South India,"Kidney disease,Diabetes,Obesity,Kapha imbalance","Cardamom + Tea,Ginger + Honey,Milk + Ghee","Stress relief,Respiratory health,Anemia",1 cube
5394,Tropical Melon,Tropical Falasava,Fruit,48.9389727378851,1.018833584573818,20.744037410877663,4.375722821460537,1.8026685288658264,"B3,B6,D","Phosphorus,Zinc,Potassium,Copper","Madhura,Katu",Ushna,Katu,Teekshna,"Balances Pitta,Aggravates Pitta",Winter,Laghu,South India,,Fennel + Mint,Cooling agent,100g
5395,Fresh Stem,Fresh Mula,Vegetable,16.954008775976718,1.4996811422119016,0.0,0.9278770905215642,2.476377190705268,"D,B6,B12,A",,Tikta,Ushna,Madhura,Teekshna,"Reduces Kapha,Balances Kapha",All,Laghu,"East India,Coastal",,"Cinnamon + Milk,Coriander + Coconut,Milk + Ghee",Immunity enhancer,100g
5396,Lean Lamb,Lean Asthi,Meat,232.07220377515347,24.98250619509681,0.0,16.89854334802335,1.0277174475648094,"B12,C,E","Sodium,Copper","Madhura,Tikta,Lavana",Ushna,Amla,Laghu,Reduces Pitta,"All,Monsoon",Laghu,"West India,Pan-India","High cholesterol,Heart disease",Coriander + Coconut,"Stress relief,Energy booster,Skin health",1 piece
5397,Saltwater Tuna,Lavana,Fish,199.99638979779556,21.956322977479083,7.873537440171596,12.84917952160383,0.2330024093782097,"B12,B2,C","Selenium,Manganese,Sodium,Calcium","Madhura,Tikta,Amla",Shita,Amla,"Manda,Laghu",Reduces Pitta,Summer,Guru,East India,"Acidity,Fever,Infection","Cloves + Tea,Cinnamon + Milk,Turmeric + Milk","Liver support,Anemia,Immunity enhancer",1 fillet
5398,Raw Seeds,Raw Bija,Nut,590.6180367482552,19.45238131160991,21.462255812208525,51.450197237036264,9.585736482962435,B3,"Copper,Potassium,Manganese,Calcium,Selenium","Katu,Madhura",Shita,Madhura,Ruksha,Reduces Pitta,"Monsoon,Autumn",Laghu,"North India,South India",,Cardamom + Tea,"Respiratory health,Immunity enhancer,Skin health",1/4 cup
5399,Tropical Fruit,Tropical Falasava,Fruit,82.80518291858245,0.5793002682478909,15.503161614058447,0.0,3.853472354304385,,"Sodium,Zinc",Katu,Shita,Katu,"Ruksha,Laghu","Aggravates Kapha,Reduces Kapha",All,Guru,North India,,"Ginger + Honey,Turmeric + Milk","Immunity enhancer,Digestive aid",1 medium
5400,Whole Peas,Whole Masura,Legume,120.26335527513064,8.558968879175383,24.430192283210555,2.4926342164755244,7.04951872828324,"B3,D,A","Potassium,Manganese,Phosphorus",Amla,Shita,Madhura,"Ruksha,Laghu","Aggravates Vata,Balances Pitta,Aggravates Kapha","Autumn,Monsoon",Laghu,East India,"Vata imbalance,Gas,High cholesterol,Allergy,Bloating","Cloves + Tea,Turmeric + Milk","Weight management,Liver support,Anemia",1/2 cup cooked
5401,Ocean Fish,Ocean Shaphari,Fish,175.15935811562528,21.103462821732194,0.32142314241566616,13.031066854135236,0.0,"B1,B12","Magnesium,Zinc","Amla,Kashaya,Lavana",Ushna,Amla,"Guru,Laghu","Aggravates Pitta,Reduces Vata","Monsoon,All",Laghu,South India,Autoimmune condition,"Turmeric + Milk,Milk + Ghee","Immunity enhancer,Weight management,Respiratory health",1 piece
5402,Organic Kernels,Organic Phala,Nut,572.9575042465761,20.617655273507786,20.621115707441575,51.40124246484971,11.312435202608775,"B3,B1","Iron,Zinc,Manganese,Copper",Katu,Shita,Madhura,Manda,"Aggravates Pitta,Reduces Pitta,Balances Vata","Monsoon,Summer",Guru,"North India,Coastal",,"Cinnamon + Milk,Cumin + Rice",Skin health,1/4 cup
5403,Sweet Fruit,Sweet Phala,Fruit,36.59700265262792,2.1742353843325652,21.29558220829138,0.696004788990781,2.190192428226895,B12,"Iron,Manganese,Phosphorus,Copper","Madhura,Katu,Tikta",Ushna,Katu,"Ruksha,Teekshna","Reduces Pitta,Aggravates Vata,Reduces Kapha","All,Winter",Laghu,Himalayan,,"Turmeric + Milk,Coriander + Coconut,Milk + Ghee","Immunity enhancer,Cooling agent,Constipation",100g
5404,Wild Seeds,Wild Bija,Nut,563.092672239856,19.292784516206993,22.936984336733737,51.40443878482043,11.754597247980318,,"Magnesium,Iron,Potassium",Kashaya,Ushna,Katu,"Snigdha,Manda","Balances Kapha,Balances Pitta","Autumn,All",Laghu,East India,,"Ginger + Honey,Cloves + Tea","Stress relief,Anemia",1/4 cup
5405,Brown Barley,Yava,Grain,394.6285221500633,8.834986956501037,73.60090572126077,4.227952365352742,2.703110139692431,,,Katu,Shita,Amla,"Manda,Ruksha","Aggravates Pitta,Balances Kapha","Winter,Monsoon",Laghu,North India,,"Milk + Ghee,Cardamom + Tea,Cinnamon + Milk","Anemia,Weight management,Cooling agent",100g
5406,Wild Powder,Wild Phala,Spice,279.78906486453025,11.625929788082487,58.74386627162575,4.6404252635930625,25.390556237677327,"B12,A,B2,D","Potassium,Manganese","Kashaya,Katu,Madhura",Ushna,Katu,Laghu,"Balances Vata,Aggravates Pitta,Reduces Vata","Autumn,Monsoon",Guru,"Coastal,South India","Ulcer,Acidity,Pitta imbalance",Fennel + Mint,"Anemia,Immunity enhancer,Stress relief",1g
5407,Virgin Oil,Taila,Oil,913.2599257813754,1.6561007851526792,0.0,103.09908212304661,0.0,C,"Iron,Manganese,Selenium,Phosphorus","Kashaya,Amla",Shita,Amla,"Ruksha,Manda",Balances Vata,All,Guru,"West India,South India","High cholesterol,Kapha imbalance,Obesity",Cloves + Tea,"Constipation,Anemia",5ml
5408,White Rice,Shali,Grain,378.6339271372882,8.309830646540393,78.57046705969258,6.556548306941992,4.192685137144318,B6,"Manganese,Copper,Selenium","Katu,Madhura,Lavana",Shita,Amla,"Guru,Teekshna","Balances Pitta,Aggravates Kapha",Spring,Laghu,"Pan-India,Himalayan",,Cardamom + Tea,Respiratory health,1 bowl
5409,Sour Citrus,Sour Phala,Fruit,63.954375122968244,2.098627598049678,7.013269437168246,2.2125529472567997,3.5689012006695577,"K,D,E",,Amla,Shita,Madhura,Laghu,Balances Pitta,Monsoon,Laghu,North India,Fever,"Fennel + Mint,Cloves + Tea,Black pepper + Turmeric","Joint health,Respiratory health,Immunity enhancer",100g
5410,Brown Millet,Brown Shali,Grain,398.7813328199947,8.752274059292192,68.87430436221229,5.415895742940419,4.349547333431292,"B2,C","Copper,Iron,Manganese,Zinc,Selenium","Amla,Lavana,Katu",Shita,Amla,Manda,Balances Pitta,Monsoon,Guru,"Himalayan,South India","Lactation,Kidney disease,Heart disease",Black pepper + Turmeric,Immunity enhancer,100g
5411,Grass-fed Chicken,Grass-fed Charma,Meat,221.8146888359523,25.762367730286297,0.0,18.906793320751838,0.0,,,Katu,Shita,Amla,Laghu,"Aggravates Pitta,Aggravates Kapha",Summer,Guru,Pan-India,"High cholesterol,Heart disease","Fennel + Mint,Coriander + Coconut,Cumin + Rice","Stress relief,Constipation,Joint health",1 fillet
5412,Free-range Pork,Free-range Charma,Meat,282.15098689920876,24.87612528828489,0.0,16.473552965830297,1.177555474175119,,"Phosphorus,Magnesium,Zinc,Copper","Madhura,Tikta,Lavana",Ushna,Madhura,"Ruksha,Teekshna",Aggravates Vata,Spring,Laghu,"Himalayan,East India","High cholesterol,Heart disease","Fennel + Mint,Cardamom + Tea",Skin health,100g
5413,Organic Blend,Organic Phala,Spice,346.45925141002465,11.21051879688598,57.00523062450959,9.217339586645993,24.78778031721339,,,"Katu,Lavana",Shita,Amla,Teekshna,"Balances Pitta,Balances Kapha",All,Guru,Coastal,"Ulcer,Acidity,Pitta imbalance",Black pepper + Turmeric,Cooling agent,pinch
5414,Organic Nuts,Organic Bija,Nut,578.3192075808836,19.721723018663003,21.114701718807474,52.61106938977997,11.572336086499622,"A,B3,D,B12","Calcium,Copper,Phosphorus",Tikta,Shita,Amla,"Guru,Ruksha",Balances Vata,"Autumn,Monsoon",Laghu,Himalayan,Fever,Fennel + Mint,"Stress relief,Respiratory health,Anemia",1/4 cup
5415,Saltwater Tuna,Lavana,Fish,173.477685285769,22.85665688198242,0.0,14.620131493365486,0.20340005866337507,"B3,B12,B1,A","Potassium,Calcium,Phosphorus,Magnesium",Kashaya,Ushna,Madhura,Ruksha,"Aggravates Vata,Balances Kapha","Winter,All",Laghu,North India,,Black pepper + Turmeric,Cooling agent,1 piece
5416,Virgin Butter,Makkhan,Oil,927.8782457989971,0.17567797215162928,5.667598877432926,103.79900251312405,1.254097015964793,"B1,B12",,"Madhura,Katu,Tikta",Ushna,Madhura,"Manda,Ruksha","Aggravates Pitta,Reduces Kapha",Autumn,Guru,"Pan-India,East India","Kapha imbalance,Lactation,Thyroid disorder,High cholesterol,Allergy,Obesity","Coriander + Coconut,Cardamom + Tea","Respiratory health,Energy booster",1 tsp
5417,Freshwater Mackerel,Jala,Fish,186.11303445919683,23.03573617393956,0.0,11.086991093560227,0.0,B6,"Iron,Copper,Zinc,Magnesium","Tikta,Lavana",Shita,Amla,Ruksha,"Reduces Vata,Balances Pitta,Reduces Pitta",All,Guru,North India,"Acidity,Diabetes,Obesity",Coriander + Coconut,"Immunity enhancer,Skin health",100g
5418,Organic Molasses,Organic Sharkara,Sweetener,439.402590489544,0.0,105.14385268184836,0.4153482390843557,1.7757356436365894,A,"Iron,Sodium,Zinc,Calcium","Katu,Lavana,Tikta",Ushna,Madhura,Snigdha,Balances Vata,Spring,Laghu,"West India,Coastal","Diabetes,Obesity,Kapha imbalance","Cumin + Rice,Fennel + Mint,Turmeric + Milk","Respiratory health,Digestive aid",1 tsp
5419,Black Quinoa,Black Shali,Grain,385.3482895945569,7.339356146909488,82.84773483515926,4.924001944890056,3.5924007953871815,"B12,K,B2,B6",,"Tikta,Kashaya",Shita,Madhura,"Snigdha,Laghu","Aggravates Pitta,Balances Vata,Reduces Kapha",All,Laghu,Coastal,,"Milk + Ghee,Coriander + Coconut","Liver support,Skin health,Energy booster",100g
5420,Cold-pressed Oil,Taila,Oil,895.8568452707457,1.7427005752264089,0.0,102.02354947925531,0.3325880085356072,"B2,K","Selenium,Sodium","Lavana,Amla",Ushna,Madhura,Guru,"Balances Vata,Reduces Vata","Monsoon,Spring",Laghu,"East India,Himalayan","High cholesterol,Kapha imbalance,Obesity",Milk + Ghee,"Respiratory health,Immunity enhancer",1 tbsp
5421,Seawater Mackerel,Jala,Fish,210.3483664990573,22.89930922451534,0.0,13.934122971652116,0.5886786291994102,B3,"Potassium,Zinc","Tikta,Lavana,Kashaya",Shita,Amla,Ruksha,Balances Pitta,Monsoon,Guru,"West India,Himalayan",,"Cinnamon + Milk,Black pepper + Turmeric","Stress relief,Immunity enhancer,Joint health",100g
5422,Himalayan Powder,Himalayan Churna,Spice,330.1122287884947,11.097913600722512,56.395909696614645,4.3518861681783205,26.392125324414614,"D,K","Zinc,Calcium","Madhura,Tikta",Shita,Amla,"Ruksha,Manda","Reduces Vata,Aggravates Vata,Balances Pitta","Spring,All",Laghu,"North India,South India","Ulcer,Acidity,Diabetes,Pitta imbalance","Cinnamon + Milk,Cloves + Tea,Fennel + Mint","Skin health,Liver support,Immunity enhancer",pinch
5423,Black Beans,Black Masura,Legume,154.40508180709105,8.819389576687191,29.825955003976034,5.430144613147177,7.3608491802997,,"Iron,Selenium,Magnesium,Copper,Potassium","Madhura,Kashaya",Shita,Katu,"Manda,Snigdha","Reduces Pitta,Balances Pitta,Aggravates Pitta","All,Winter",Laghu,North India,"Bloating,Gas,Vata imbalance,Hypertension","Fennel + Mint,Turmeric + Milk",Skin health,1 bowl
5424,Creamy Cream,Creamy Dugdha,Dairy,77.55970248474459,4.913586074780301,7.651855988487849,6.644792173601856,1.9641574162617137,,"Magnesium,Zinc","Katu,Amla",Ushna,Katu,Teekshna,Aggravates Vata,All,Laghu,Coastal,"Lactose intolerance,Kapha imbalance","Turmeric + Milk,Cloves + Tea","Digestive aid,Energy booster",2 tbsp
5425,Wild Seeds,Wild Phala,Nut,603.3957505775725,19.727577360235237,15.955745982644089,54.557560981747365,10.469317128721771,B3,Manganese,"Tikta,Kashaya",Shita,Madhura,"Ruksha,Guru",Balances Pitta,"Autumn,All",Guru,"Himalayan,South India",Fever,Cloves + Tea,"Anemia,Energy booster",1/4 cup
5426,Virgin Oil,Taila,Oil,883.6293646322252,0.0,7.248177021204615,104.49001883807013,1.9848075766493776,B6,Manganese,"Katu,Amla",Shita,Madhura,Guru,"Reduces Kapha,Aggravates Kapha,Reduces Vata","Autumn,Spring",Laghu,Pan-India,"High cholesterol,Kapha imbalance,Obesity","Cumin + Rice,Cloves + Tea,Black pepper + Turmeric",Energy booster,1 tsp
5427,Extra Virgin Ghee,Ghrita,Oil,928.224393813477,1.0457365788851662,2.191279757059238,100.89044813055399,0.0,"B6,B12","Zinc,Calcium,Sodium,Copper,Phosphorus","Tikta,Lavana,Kashaya",Ushna,Amla,Ruksha,Aggravates Pitta,"All,Summer",Guru,Pan-India,"High cholesterol,Kidney disease,Kapha imbalance,Obesity",Cumin + Rice,"Stress relief,Digestive aid,Skin health",1 tsp
5428,Wild Apple,Wild Phala,Fruit,27.905156124366563,0.04460816499698683,18.2966202930389,2.6203628322745534,3.1233325927916864,,"Magnesium,Zinc,Copper,Iron",Amla,Ushna,Amla,"Guru,Teekshna","Reduces Pitta,Aggravates Vata,Balances Pitta","Autumn,All",Laghu,West India,,"Coriander + Coconut,Cinnamon + Milk,Cumin + Rice","Skin health,Anemia",100g
5429,Saltwater Sardine,Lavana,Fish,191.81680584917285,22.410630029029864,0.0,14.423816652293361,0.8338860693698642,"A,B6","Iron,Selenium","Lavana,Tikta",Shita,Madhura,"Teekshna,Laghu","Aggravates Vata,Aggravates Pitta",All,Guru,"South India,North India",,Ginger + Honey,"Energy booster,Constipation,Respiratory health",100g
5430,Brown Oats,Brown Dhanya,Grain,379.0821118545904,7.431982867785401,77.73032501161818,6.617205177855053,4.576906796276454,"B3,B6","Manganese,Sodium,Potassium",Katu,Shita,Amla,"Teekshna,Guru","Aggravates Vata,Balances Kapha",Spring,Guru,"Pan-India,East India",,Milk + Ghee,Weight management,100g
5431,Baby Flower,Baby Shaka,Vegetable,28.708302652539295,0.9613316246590562,7.601197668397743,3.309629140574233,2.201237740759171,"B1,B2",,"Lavana,Tikta",Shita,Madhura,"Ruksha,Guru","Reduces Kapha,Reduces Vata","Monsoon,Winter",Laghu,"South India,Coastal",,Cumin + Rice,"Respiratory health,Energy booster",1 bowl
5432,Free-range Beef,Free-range Charma,Meat,281.3726329058395,24.109101224842345,0.0,16.988924438823204,0.0,"B1,B12,C","Potassium,Phosphorus,Selenium,Magnesium,Calcium",Madhura,Shita,Madhura,Teekshna,"Aggravates Pitta,Reduces Kapha,Aggravates Vata",Spring,Guru,"West India,Himalayan","High cholesterol,Heart disease",Turmeric + Milk,"Anemia,Joint health,Constipation",1 piece
5433,Freshwater Mackerel,Jala,Fish,156.88117469020744,23.84209679730523,0.0,12.852882316582946,1.8029897600098774,"K,B12",Sodium,Madhura,Shita,Madhura,"Ruksha,Laghu",Reduces Pitta,Spring,Guru,Coastal,,"Cinnamon + Milk,Black pepper + Turmeric,Ginger + Honey","Digestive aid,Weight management,Liver support",1 piece
5434,Organic Butter,Makkhan,Oil,920.6669018324252,0.08345868263698986,0.0,103.23024925960087,0.8094308979698632,"B6,K,B3,D","Iron,Copper",Katu,Shita,Madhura,Teekshna,Aggravates Kapha,"Winter,Autumn",Laghu,"West India,Pan-India","High cholesterol,Kapha imbalance,Obesity","Cloves + Tea,Cardamom + Tea",Cooling agent,5ml
5435,Whole Extract,Whole Kalka,Spice,278.4860292439993,12.688255640124396,63.803324201445704,5.358917368378066,24.66050118142192,C,Iron,Katu,Shita,Amla,"Guru,Snigdha",Reduces Kapha,Summer,Laghu,East India,"Ulcer,Acidity,Pitta imbalance","Turmeric + Milk,Black pepper + Turmeric,Ginger + Honey",Respiratory health,pinch
5436,Sweet Citrus,Sweet Amritaphala,Fruit,27.332454356499042,0.18325430507616092,22.181697493680215,1.3680277978237603,2.2171682616084083,,"Manganese,Calcium","Madhura,Tikta",Ushna,Amla,"Snigdha,Ruksha",Aggravates Pitta,Spring,Laghu,"South India,North India","Lactation,Acidity","Cardamom + Tea,Fennel + Mint,Cinnamon + Milk","Cooling agent,Respiratory health",100g
5437,Himalayan Essence,Himalayan Churna,Spice,287.8233688242542,12.789511308076627,63.74341847530294,4.956660628383437,26.422976102528217,D,"Potassium,Iron,Copper","Katu,Tikta,Amla",Ushna,Katu,"Teekshna,Ruksha","Balances Kapha,Reduces Kapha",Summer,Laghu,"Coastal,South India","Ulcer,Acidity,Pitta imbalance","Cumin + Rice,Coriander + Coconut",Anemia,1 tsp
5438,Red Wheat,Godhum,Grain,302.10834702672605,9.565700841784281,73.51563874075401,4.547063459210008,2.7411111517300943,"D,B12,E,B3","Selenium,Sodium,Zinc","Amla,Madhura",Ushna,Katu,"Teekshna,Ruksha","Balances Vata,Balances Pitta,Aggravates Pitta",Winter,Guru,West India,,Ginger + Honey,"Cooling agent,Energy booster,Digestive aid",1 cup cooked
5439,Wild Chicken,Wild Charma,Meat,231.30145908211,25.441602721253744,2.541260521160801,16.861828985941965,0.9379788427485305,,Copper,Amla,Ushna,Amla,Ruksha,"Aggravates Kapha,Aggravates Vata,Reduces Kapha",Summer,Laghu,"East India,North India","High cholesterol,Heart disease","Cloves + Tea,Ginger + Honey","Liver support,Digestive aid,Skin health",100g
5440,Organic Powder,Organic Churna,Spice,276.8156342812836,13.731983628778682,69.20029388430663,9.229576853966716,26.62818096812049,,"Copper,Selenium","Katu,Madhura,Amla",Ushna,Katu,"Manda,Snigdha",Reduces Kapha,"Spring,Autumn",Guru,Himalayan,"Ulcer,Acidity,Pitta imbalance","Turmeric + Milk,Cloves + Tea,Cinnamon + Milk","Constipation,Energy booster,Respiratory health",1g
5441,Cold-pressed Butter,Makkhan,Oil,891.3980795636821,1.430172317231865,0.0,104.43711081848717,0.0,K,"Copper,Phosphorus,Potassium,Manganese,Magnesium","Kashaya,Katu",Shita,Amla,Ruksha,"Balances Kapha,Aggravates Vata,Balances Pitta","Monsoon,Autumn",Laghu,"Himalayan,North India","High cholesterol,Kapha imbalance,Obesity","Cardamom + Tea,Ginger + Honey,Black pepper + Turmeric","Skin health,Energy booster",1 tsp
5442,Farm Fresh Yogurt,Farm Ksheera,Dairy,12.638482183421772,3.4441508167005948,4.122040087713044,2.45789440772103,0.6360832281237108,"B3,A","Manganese,Potassium,Iron,Copper","Kashaya,Lavana,Madhura",Shita,Katu,"Ruksha,Laghu",Balances Vata,Spring,Laghu,East India,"Lactose intolerance,Kapha imbalance","Cardamom + Tea,Cloves + Tea","Digestive aid,Constipation,Liver support",1 glass
5443,Golden Oats,Golden Godhuma,Grain,304.3087688298703,9.677071461651494,84.57378339384863,3.9578861896963113,3.8399682785911513,B3,,Katu,Shita,Amla,"Teekshna,Guru","Reduces Pitta,Balances Vata,Balances Pitta",Autumn,Guru,Pan-India,Lactation,"Milk + Ghee,Turmeric + Milk","Skin health,Energy booster",100g
5444,Freshwater Mackerel,Jala,Fish,166.08703600963156,22.99561594206383,0.0,14.466752398269161,1.4484905019144205,"A,B2","Calcium,Phosphorus,Selenium","Madhura,Tikta,Amla",Ushna,Madhura,Teekshna,Reduces Kapha,"Autumn,Monsoon",Laghu,North India,,"Milk + Ghee,Ginger + Honey","Stress relief,Weight management",100g
5445,Wild Beef,Wild Charma,Meat,265.224394353825,26.46317359464472,0.297355878179582,15.215789275885198,1.056694266829538,"B2,B6,D,K","Copper,Zinc,Phosphorus,Sodium","Katu,Lavana,Tikta",Ushna,Katu,"Ruksha,Teekshna","Reduces Vata,Reduces Pitta",Monsoon,Laghu,"Coastal,Himalayan","High cholesterol,Heart disease","Milk + Ghee,Turmeric + Milk,Black pepper + Turmeric",Digestive aid,1 piece
5446,Virgin Oil,Taila,Oil,908.0044496790265,1.6602178847965243,0.0,104.29182713413317,0.7774637077912971,K,"Sodium,Magnesium,Phosphorus",Katu,Shita,Katu,"Teekshna,Laghu",Reduces Vata,Monsoon,Laghu,"Coastal,East India","High cholesterol,Kapha imbalance,Obesity","Coriander + Coconut,Black pepper + Turmeric,Cinnamon + Milk","Skin health,Weight management,Stress relief",1 tsp
5447,Wild Chicken,Wild Mamsa,Meat,246.81216570417476,25.25127591888251,8.460187815366936,19.282134362994704,0.0,,,"Katu,Kashaya",Shita,Katu,Laghu,"Balances Kapha,Aggravates Kapha,Reduces Vata","Winter,Summer",Guru,"Coastal,East India","High cholesterol,Heart disease","Turmeric + Milk,Milk + Ghee,Cumin + Rice",Constipation,1 fillet
5448,Cold-pressed Oil,Taila,Oil,940.7360053601275,1.9295804313846912,0.0,99.37910679673426,1.5548398407955752,,"Iron,Magnesium,Manganese","Madhura,Amla,Kashaya",Ushna,Madhura,"Manda,Teekshna",Reduces Pitta,"All,Spring",Guru,Coastal,"Kapha imbalance,Ulcer,High cholesterol,Kidney disease,Heart disease,Obesity","Milk + Ghee,Ginger + Honey,Coriander + Coconut",Skin health,1 tsp
5449,Bitter Apple,Bitter Falasava,Fruit,109.15375976290404,0.17886287013659863,11.591250081772007,3.445229338608933,2.379178564822807,"K,B3,B12,B2","Calcium,Iron,Manganese,Sodium,Copper","Katu,Lavana",Shita,Madhura,Manda,"Balances Vata,Reduces Kapha,Aggravates Vata","Spring,Monsoon",Laghu,East India,"Pregnancy,Infection,Autoimmune condition",Coriander + Coconut,"Constipation,Skin health,Cooling agent",100g
5450,Organic Molasses,Organic Madhu,Sweetener,412.73893868922596,0.0,99.43931702543726,2.435229567437652,1.2226292528870086,A,"Copper,Manganese,Phosphorus",Madhura,Ushna,Amla,"Laghu,Snigdha","Reduces Kapha,Aggravates Kapha,Balances Kapha",Autumn,Laghu,West India,"Diabetes,Obesity,Kapha imbalance",Cumin + Rice,"Anemia,Respiratory health",1 cube
5451,Golden Rice,Shali,Grain,384.2327536854178,7.759357366364642,70.5425826548734,6.48739950020838,3.8200522969144552,"K,C,B3",Magnesium,Katu,Ushna,Madhura,"Guru,Laghu","Reduces Vata,Balances Kapha","All,Monsoon",Guru,"West India,North India","Lactation,Ulcer,Hypertension",Cinnamon + Milk,"Digestive aid,Anemia,Liver support",1 bowl
5452,Ocean Mackerel,Ocean Shaphari,Fish,239.93685680750477,21.807051218990942,0.0,15.72313010185641,0.2740334902509549,"B2,D,B1","Copper,Potassium,Calcium,Selenium,Magnesium",Tikta,Ushna,Amla,Manda,"Aggravates Pitta,Aggravates Vata","Autumn,Winter",Laghu,"Pan-India,East India",,"Cinnamon + Milk,Cumin + Rice","Energy booster,Digestive aid",100g
5453,Baby Root,Baby Kanda,Vegetable,41.43877661087804,0.6816859684136554,11.02506505482626,4.651986314094999,2.414192937354631,B2,"Manganese,Selenium,Sodium,Iron,Zinc","Tikta,Lavana",Ushna,Madhura,"Teekshna,Guru",Balances Vata,"Spring,Winter",Guru,"Coastal,East India",,"Cardamom + Tea,Coriander + Coconut,Turmeric + Milk",Immunity enhancer,100g
5454,Farm Fresh Milk,Ksheera,Dairy,13.815350415844108,3.6099268068077603,0.0,6.449264589717622,0.0,"B12,C,B6,B2","Manganese,Calcium,Selenium,Zinc,Potassium",Tikta,Ushna,Madhura,Snigdha,"Reduces Kapha,Aggravates Pitta,Aggravates Vata",All,Guru,North India,"Lactose intolerance,Kapha imbalance",Cloves + Tea,"Skin health,Constipation",1 glass
5455,Crystallized Syrup,Crystallized Guda,Sweetener,350.51719817826864,1.7258130410266368,94.39525362641928,2.884195452885333,0.0,"B3,B2,A,K",,"Katu,Amla,Tikta",Ushna,Madhura,Snigdha,Reduces Pitta,"Spring,Monsoon",Laghu,East India,"Diabetes,Obesity,Kapha imbalance","Turmeric + Milk,Ginger + Honey",Skin health,1 cube
5456,Wild Flower,Wild Shaka,Vegetable,19.984392974004365,1.9902244594607148,2.8590444812668174,4.559063121669623,2.9485711094236366,,Magnesium,"Amla,Lavana,Madhura",Shita,Madhura,Snigdha,"Aggravates Kapha,Balances Pitta,Reduces Pitta","Autumn,Spring",Laghu,"South India,West India",,Fennel + Mint,"Weight management,Stress relief",100g
5457,Seawater Salmon,Jala,Fish,220.8787374058407,21.865497619921832,9.772298589172355,15.24911227163504,0.34196061483582185,"B3,E,B6",,Tikta,Shita,Madhura,"Laghu,Guru","Aggravates Pitta,Aggravates Vata","All,Summer",Guru,"Himalayan,South India",,"Ginger + Honey,Black pepper + Turmeric,Fennel + Mint","Liver support,Weight management,Energy booster",100g
5458,Split Beans,Split Mudga,Legume,103.67059425119005,8.81896790715772,27.75593634187643,4.182852219052238,8.231426739328418,,"Zinc,Phosphorus,Magnesium,Potassium","Amla,Madhura,Katu",Ushna,Katu,Snigdha,Reduces Kapha,"Spring,Autumn",Guru,"Pan-India,West India","Vata imbalance,Hypertension,Gas,Bloating,Acidity",Fennel + Mint,"Cooling agent,Liver support",50g
5459,Wild Stem,Wild Shaka,Vegetable,72.35891565141091,0.7952511764391225,8.717371552172235,1.2475653711490153,3.3930641978813147,"D,B6,B2,A","Selenium,Copper,Magnesium,Phosphorus",Kashaya,Ushna,Katu,Ruksha,"Aggravates Pitta,Reduces Pitta",Monsoon,Guru,"Coastal,South India",,"Cloves + Tea,Turmeric + Milk,Fennel + Mint","Cooling agent,Immunity enhancer,Weight management",1 bowl
5460,Tropical Berry,Tropical Phala,Fruit,13.991820070427785,1.725894469207295,12.627981358126982,0.0,3.0453941888556657,"B3,E,B6",Iron,"Madhura,Tikta,Katu",Ushna,Amla,"Manda,Teekshna","Reduces Kapha,Reduces Vata,Aggravates Kapha",Summer,Guru,South India,,"Milk + Ghee,Cinnamon + Milk,Coriander + Coconut","Weight management,Respiratory health",1 cup sliced
5461,Whole Chickpeas,Whole Mudga,Legume,151.6910760030608,9.068645560003782,19.07867391784678,3.1058344475081805,8.267828583064539,,"Phosphorus,Iron,Selenium,Zinc",Tikta,Ushna,Katu,Laghu,"Reduces Pitta,Reduces Vata",Summer,Laghu,"West India,North India","Vata imbalance,Pregnancy,Gas,Bloating,Acidity","Black pepper + Turmeric,Cumin + Rice,Cinnamon + Milk","Respiratory health,Constipation",1/2 cup cooked
